timestamp,gx,gy,gz
1463126549893283730,7298.0,-1284.0,-1638.0
1463126549895464928,8123.0,-2007.0,-1951.0
1463126549898074043,8669.0,-2784.0,-2289.0
1463126549900566230,8773.0,-3811.0,-2563.0
1463126549903077584,8429.0,-5098.0,-2736.0
1463126549905655084,7989.0,-5321.0,-2846.0
1463126549908872949,7378.0,-3971.0,-2844.0
1463126549918206907,6533.0,-1529.0,-2502.0
1463126549926795345,5520.0,1225.0,-1844.0
1463126549963004303,4298.0,3401.0,-1045.0
1463126549965473730,3142.0,4376.0,-150.0
1463126549968060605,1560.0,3845.0,212.0
1463126549970567011,-352.0,2711.0,125.0
1463126549977012324,-2262.0,1509.0,11.0
1463126549986956595,-3846.0,861.0,3.0
1463126549996793366,-5048.0,745.0,112.0
1463126550052053418,-6027.0,951.0,277.0
1463126550054227011,-6821.0,1054.0,417.0
1463126550057346803,-7398.0,893.0,628.0
1463126550060348157,-7771.0,357.0,960.0
1463126550062879303,-7999.0,-430.0,1368.0
1463126550065431178,-8129.0,-1477.0,1979.0
1463126550067917063,-8174.0,-2585.0,2759.0
1463126550076692324,-7964.0,-3140.0,3391.0
1463126550086708209,-7438.0,-3469.0,3761.0
1463126550140884563,-6782.0,-3277.0,3802.0
1463126550143032220,-4904.0,-1657.0,3349.0
1463126550145482636,-2831.0,244.0,2689.0
1463126550147896386,-796.0,1961.0,1484.0
1463126550150379928,1363.0,2798.0,215.0
1463126550153730918,3370.0,2318.0,-858.0
1463126550159155865,5129.0,861.0,-1703.0
1463126550166948938,6613.0,-954.0,-2174.0
1463126550229135865,7762.0,-2340.0,-2619.0
1463126550230765657,8651.0,-3185.0,-3048.0
1463126550233039928,9374.0,-3593.0,-3411.0
1463126550235734147,9684.0,-3557.0,-3796.0
1463126550238144511,9244.0,-4610.0,-3817.0
1463126550241530918,8762.0,-4608.0,-3725.0
1463126550245314095,8008.0,-2643.0,-3442.0
1463126550248117949,6877.0,125.0,-2880.0
1463126550257104511,5586.0,2888.0,-1871.0
1463126550315774095,4125.0,4821.0,-627.0
1463126550319167428,2894.0,4863.0,348.0
1463126550321991334,949.0,3446.0,399.0
1463126550324471699,-1154.0,1744.0,-117.0
1463126550327053886,-3077.0,425.0,-190.0
1463126550329306803,-4599.0,200.0,-238.0
1463126550337854720,-5668.0,753.0,-174.0
1463126550340436126,-6447.0,1396.0,-58.0
1463126550346710917,-7056.0,1736.0,79.0
1463126550404653313,-7514.0,1668.0,236.0
1463126550406874563,-7787.0,1205.0,474.0
1463126550409660657,-7955.0,349.0,824.0
1463126550412955292,-8036.0,-819.0,1462.0
1463126550416494459,-7906.0,-2333.0,2329.0
1463126550419273626,-7669.0,-3199.0,3108.0
1463126550421894615,-7109.0,-3644.0,3346.0
1463126550427928313,-6021.0,-3052.0,3073.0
1463126550491822688,-4053.0,-1594.0,2519.0
1463126550494064772,-1922.0,367.0,1818.0
1463126550496539303,454.0,2185.0,782.0
1463126550499071959,2877.0,3282.0,-445.0
1463126550502459563,4954.0,2852.0,-1566.0
1463126550504125501,6509.0,1075.0,-2149.0
1463126550507809928,7773.0,-788.0,-2339.0
1463126550515197688,8698.0,-2006.0,-2615.0
1463126550517532532,9356.0,-2502.0,-2913.0
1463126550527758261,9843.0,-1546.0,-3174.0
1463126550580737532,9361.0,-2921.0,-3142.0
1463126550583022167,8669.0,-3260.0,-3130.0
1463126550585378886,7586.0,-1267.0,-2857.0
1463126550587854772,6352.0,1362.0,-2303.0
1463126550590433105,5012.0,3940.0,-1266.0
1463126550593635032,3717.0,5204.0,-166.0
1463126550601654094,2045.0,4025.0,151.0
1463126550606622584,-166.0,1794.0,-34.0
1463126550616620917,-2251.0,-99.0,-410.0
1463126550667978730,-4045.0,-891.0,-403.0
1463126550669943053,-5420.0,-308.0,-357.0
1463126550675258626,-6361.0,791.0,-254.0
1463126550677693834,-7085.0,1539.0,-187.0
1463126550680175813,-7729.0,1700.0,-48.0
1463126550687369459,-8203.0,1284.0,150.0
1463126550690806594,-8514.0,373.0,508.0
1463126550696895449,-8768.0,-974.0,1180.0
1463126550707086542,-8810.0,-2803.0,2149.0
1463126550756984824,-8671.0,-4300.0,3258.0
1463126550759216021,-8334.0,-4798.0,3849.0
1463126550761839094,-7477.0,-4167.0,3568.0
1463126550764192584,-5239.0,-2105.0,3050.0
1463126550767506021,-3263.0,27.0,2410.0
1463126550776622480,-956.0,2181.0,1547.0
1463126550779117376,1454.0,3805.0,439.0
1463126550786676751,3653.0,3999.0,-878.0
1463126550846877688,5231.0,2102.0,-1636.0
1463126550849148626,6436.0,-302.0,-1754.0
1463126550851751334,7364.0,-2027.0,-1926.0
1463126550854212219,8057.0,-2967.0,-2253.0
1463126550856672896,8694.0,-3202.0,-2529.0
1463126550862918105,8751.0,-3153.0,-2828.0
1463126550865335553,8439.0,-4610.0,-2945.0
1463126550867871490,8070.0,-4043.0,-2999.0
1463126550878766021,7387.0,-1871.0,-2801.0
1463126550934213417,6548.0,1061.0,-2192.0
1463126550936545188,5673.0,3808.0,-1029.0
1463126550938977480,4461.0,5663.0,196.0
1463126550941517428,3164.0,5555.0,833.0
1463126550943957740,1283.0,3764.0,890.0
1463126550952297740,-879.0,1613.0,307.0
1463126550955231126,-2854.0,28.0,-16.0
1463126550957768261,-4385.0,-163.0,-155.0
1463126550966570865,-5457.0,629.0,-243.0
1463126551022130240,-6187.0,1474.0,-271.0
1463126551024284094,-6756.0,1757.0,-232.0
1463126551027414355,-7226.0,1403.0,-151.0
1463126551032876751,-7583.0,604.0,129.0
1463126551035395969,-7832.0,-521.0,582.0
1463126551037890396,-7902.0,-2163.0,1335.0
1463126551040410605,-7865.0,-4000.0,2226.0
1463126551046665657,-7777.0,-5057.0,2993.0
1463126551056642011,-6985.0,-4477.0,2976.0
1463126551109179251,-5037.0,-2714.0,2246.0
1463126551111561178,-3145.0,-940.0,1660.0
1463126551113967896,-1113.0,926.0,1174.0
1463126551116594771,1272.0,2813.0,521.0
1463126551119024198,3417.0,3764.0,-802.0
1463126551125617376,4992.0,2453.0,-1811.0
1463126551129042480,6131.0,91.0,-1984.0
1463126551198495761,6967.0,-1729.0,-2080.0
1463126551200607844,7583.0,-2654.0,-2399.0
1463126551203606386,8235.0,-2944.0,-2665.0
1463126551205610605,8370.0,-2844.0,-2913.0
1463126551208108000,7948.0,-4571.0,-3084.0
1463126551214368053,7626.0,-4234.0,-3254.0
1463126551217045553,6821.0,-2296.0,-3230.0
1463126551219329303,5808.0,408.0,-2637.0
1463126551222358834,4630.0,3319.0,-1472.0
1463126551230481178,3256.0,5116.0,-366.0
1463126551286464250,1800.0,4617.0,351.0
1463126551289383417,-145.0,2592.0,556.0
1463126551291863209,-2159.0,864.0,110.0
1463126551294624511,-3445.0,-325.0,-58.0
1463126551301761438,-4727.0,-373.0,49.0
1463126551304162375,-5693.0,378.0,228.0
1463126551306682480,-6211.0,1325.0,398.0
1463126551309277480,-6594.0,1694.0,477.0
1463126551317914459,-7002.0,1331.0,627.0
1463126551380507167,-7390.0,460.0,919.0
1463126551382835084,-7635.0,-703.0,1295.0
1463126551385322115,-7547.0,-2258.0,1968.0
1463126551388785344,-7406.0,-3229.0,2767.0
1463126551391669042,-7124.0,-3919.0,3374.0
1463126551394328417,-6128.0,-3016.0,3097.0
1463126551397632740,-4371.0,-1377.0,2546.0
1463126551405334407,-2390.0,936.0,1905.0
1463126551407811750,-247.0,2762.0,982.0
1463126551462952271,1859.0,3393.0,32.0
1463126551465253261,3760.0,2642.0,-844.0
1463126551467808521,5036.0,913.0,-1448.0
1463126551481885344,6123.0,-808.0,-1762.0
1463126551484474823,7005.0,-2096.0,-2022.0
1463126551486658157,7521.0,-2863.0,-2324.0
1463126551494859875,7960.0,-3012.0,-2637.0
1463126551501642427,7868.0,-3135.0,-2927.0
1463126551550692011,7234.0,-4588.0,-3068.0
1463126551552996907,6421.0,-3301.0,-3203.0
1463126551555460813,5454.0,-502.0,-2976.0
1463126551557884615,4582.0,2719.0,-2200.0
1463126551565381230,3783.0,5919.0,-688.0
1463126551567861907,3252.0,7092.0,976.0
1463126551570046802,1610.0,5983.0,315.0
1463126551576708782,-649.0,3154.0,-536.0
1463126551579156959,-2823.0,106.0,-623.0
1463126551586860813,-4673.0,-1619.0,-680.0
1463126551639499875,-5773.0,-1477.0,-460.0
1463126551642938886,-6258.0,-377.0,11.0
1463126551645460709,-6626.0,550.0,325.0
1463126551647899615,-6966.0,821.0,587.0
1463126551654159042,-7297.0,479.0,858.0
