timestamp,mx,my,mz
1463127119705030023,1101.0,1042.0,-5917.0
1463127119760030284,1179.0,255.0,-6153.0
1463127119762378513,1179.0,255.0,-6153.0
1463127119764852419,943.0,-373.0,-6075.0
1463127119766845596,943.0,-373.0,-6075.0
1463127119781459346,1061.0,-727.0,-6114.0
1463127119784847784,1061.0,-727.0,-6114.0
1463127119787297054,1258.0,-1002.0,-5839.0
1463127119791078044,1258.0,-1002.0,-5839.0
1463127119797651429,1179.0,-1238.0,-5996.0
1463127119847637471,1179.0,-1238.0,-5996.0
1463127119850051742,1533.0,-1042.0,-5957.0
1463127119852322784,1533.0,-1042.0,-5957.0
1463127119854776898,1612.0,-334.0,-6035.0
1463127119859777471,1612.0,-334.0,-6035.0
1463127119863475909,1454.0,137.0,-6035.0
1463127119866088877,1454.0,137.0,-6035.0
1463127119874997315,1494.0,884.0,-6075.0
1463127119883664086,1494.0,884.0,-6075.0
1463127119936150596,1218.0,1553.0,-5957.0
1463127119938421065,1218.0,1553.0,-5957.0
1463127119941008096,1336.0,1907.0,-5760.0
1463127119948437679,1336.0,1907.0,-5760.0
1463127119950990752,1101.0,2300.0,-5603.0
1463127119953539554,1101.0,2300.0,-5603.0
1463127119956343409,1258.0,2143.0,-5603.0
